DATE,TIME,NB_ JUNCTIONS,NB_speed,NB_traffic_conditions,SB_JUNCTIONS,SB_speed,SB_traffic_conditions,DAYS
22/02/2022,18,J36 - J37,60,None,J37 - J36,57,None,Tuesday
22/02/2022,18,J35A - J36,62,None,J36 - J35A,62,None,Tuesday
22/02/2022,18,J35 - J35A,59,None,J35A - J35,61,None,Tuesday
22/02/2022,18,J34 - J35,64,None,J35 - J34,64,None,Tuesday
22/02/2022,18,J33 - J34,59,None,J34 - J33,58,Roadworks,Tuesday
22/02/2022,18,J32 - J33,56,None,J33 - J32,54,Roadworks,Tuesday
22/02/2022,18,J31 - J32,55,None,J32 - J31,55,None,Tuesday
22/02/2022,18,J30 - J31,63,None,J31 - J30,62,None,Tuesday
22/02/2022,18,J29A - J30,63,None,J30 - J29A,64,None,Tuesday
22/02/2022,18,J29 - J29A,61,None,J29A - J29,63,None,Tuesday
22/02/2022,18,J28 - J29,63,None,J29 - J28,64,None,Tuesday
22/02/2022,18,J27 - J28,65,None,J28 - J27,66,None,Tuesday
22/02/2022,18,J26 - J27,57,None,J27 - J26,68,None,Tuesday
22/02/2022,18,J25 - J26,62,None,J26 - J25,70,None,Tuesday
22/02/2022,18,J24A -J25,67,None,J25 - J24A,67,None,Tuesday
22/02/2022,18,J24 - J24A,67,None,J24A - J24,67,None,Tuesday
22/02/2022,18,J23A - J24,68,None,J24 - J23A,66,Roadworks,Tuesday
22/02/2022,18,J23 - J23A,69,None,J23A - J23,61,None,Tuesday
22/02/2022,18,J22 - J23,66,Roadworks,J23 - J22,60,Roadworks,Tuesday
22/02/2022,18,J21A - J22,64,None,J22 - J21A,65,Roadworks,Tuesday
22/02/2022,18,J21- J21A,67,None,J21A - J21,64,None,Tuesday
22/02/2022,18,J20 - J21,67,None,J21 - J20,66,None,Tuesday
22/02/2022,18,J19 - J20,70,Roadworks,J20 - J19,65,None,Tuesday
22/02/2022,18,J18 - J19,70,None,J19 - J18,67,None,Tuesday
22/02/2022,18,J17 - J18,70,None,J18 - J17,67,None,Tuesday
22/02/2022,18,J16 - J17,67,Roadworks,J17 - J16,68,None,Tuesday
